address,admin_name,external_id,facility_name,latitude,longitude,manager,operation_status,phone
충청남도 아산시 용화동 1459,충청남도 아산시,288-2-000006,용화동 제3공영주차장,36.77235582,127.0086316,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 용화동 1596,충청남도 아산시,288-2-000007,용화동 제4공영주차장,36.77410845,127.0124642,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 온천동 2430,충청남도 아산시,288-2-000008,용화동 제5공영주차장,36.774873,127.005112,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 온천동 2038,충청남도 아산시,288-2-000009,용화동 제6공영주차장,36.779276,127.011521,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 인주면 걸매리 1004,충청남도 아산시,288-2-000018,인주면 걸매리 제1공영주차장,36.87794723,126.8696448,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 인주면 걸매리 1024,충청남도 아산시,288-2-000019,인주면 걸매리 제2공영주차장,36.88429345,126.8805473,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 인주면 걸매리 1049,충청남도 아산시,288-2-000020,인주면 걸매리 제3공영주차장,36.87290772,126.8793288,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 배방읍 신흥리 64-1,충청남도 아산시,288-2-000041,좌부동 공영주차장,36.75542174,127.0329583,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 탕정면 매곡리 1240,충청남도 아산시,288-2-000046,탕정지구 제3공영주차장,36.78606749,127.0810092,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 탕정면 매곡리 1272,충청남도 아산시,288-2-000047,탕정지구 제4공영주차장,36.78491953,127.0807862,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 탕정면 매곡리 1329,충청남도 아산시,288-2-000048,탕정지구 제5공영주차장,36.78273465,127.0820358,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 탕정면 매곡리 1374,충청남도 아산시,288-2-000049,탕정지구 제6공영주차장,36.78059469,127.0835741,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 탕정면 매곡리 1408,충청남도 아산시,288-2-000050,탕정지구 제7공영주차장,36.78103502,127.0876458,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 방축동 428-30,충청남도 아산시,288-2-000035,방축동 제1공영주차장,36.77645623,126.9818057,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 방축동 763,충청남도 아산시,288-2-000036,방축동 제2공영주차장,36.77649611,126.9797536,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 방축동 730,충청남도 아산시,288-2-000037,방축동 제3공영주차장,36.77440339,126.9819111,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 방축동 140-31,충청남도 아산시,288-2-000038,방축동 제4공영주차장,36.78603518,126.9854192,충청남도 아산시,평일+토요일+공휴일,041-540-2369
충청남도 아산시 배방읍 북수리 1672,충청남도 아산시,288-2-000029,배방읍 북수리 제2공영주차장,36.77174922,127.0745422,충청남도 아산시,평일+토요일+공휴일,041-540-2369
